Vertical 1,Vertical 2,Noticia (link),Etiqueta,Etiqueta específica,etiqueta 3,Región,Personalidad destacada,...9,Fecha,Diario,Si,Me gusta,Simpatía,Asombro,Diversión,Descreimiento,Tristeza,Enojo,Me importa,Likes,Comentarios...22,Compartidos,Interacciones,Cuerpo del Post,Cuerpo de la noticia,Comentarios...27,Link del comentario
Random,,https://www.facebook.com/Cadena3Argentina/posts/pfbid0QVbgqP35L5PwrBxvAsNCEfUUTCRKxYvmg3xwuMn2a17bbaaCRnJweJEzuL5acHmGl,Hallazgo,Hallan 50 mil dólares en un basural,Santa Fe,Nacional,,,21/7/2022,Cadena 3,Si,672,12,61,0,992,5,37,8,,1700,134,3621,"Nicolas Gambini, fiscal de Bell Ville, explicó a Cadena 3 qué se debe hacer cuando se encuentra un objeto de valor perdido en la calle, a raíz del hallazgo de más de 50 mil sólares en Las Parejas","¿Es delito quedarse con dinero encontrado en la calle?
Nicolas Gambini, fiscal de Bell Ville, explicó a Cadena 3 qué se debe hacer cuando se encuentra un objeto de valor perdido en la calle, a raíz del hallazgo de más de 50 mil sólares en Las Parejas. 

21/07/2022 | 08:21

Redacción Cadena 3

  

AUDIO: ¿Es delito quedarse con dinero encontrado en la calle?

‹›

La ley civil establece que las cosas que se encuentran perdidas no pueden apropiarse
Nicolas Gambini, fiscal de Bell Ville



La norma dicta que debe procurar ubicar a su dueño y si no lo logra, poner a disposición de la Policía para que ubique a su propietario
Nicolas Gambini, fiscal de Bell Ville



En caso de que no se encuentre a la persona, la ley civil establece un supuesto sobre lo que debe realizarse con el objeto en sí 
Nicolas Gambini, fiscal de Bell Ville

En este caso no se tuvo en cuenta el aspecto legal
Ileana Paglietta, periodista de Las Parejas





En algunos medios se habló de una supuesta carta, por lo que se vio en alguna foto 
Ileana Paglietta, periodista de Las Parejas



No podría decirse con seguridad que la carta existió 
Ileana Paglietta, periodista de Las Parejas



No actuó la Policía ni el fiscal para empezar una causa 
Ileana Paglietta, periodista de Las Parejas

Entrevista de Miguel Clariá. Informe de Francisco Centeno ",,
Random,,https://www.facebook.com/Cadena3Argentina/posts/pfbid02yvBmXiSKPMvgkfSkP2FzStFxrL1KyaCNqzZiK7hUvaH1gjMdRR5TiAkTxbq5LoFCl,Hallazgo,Hallan 50 mil dólares en un basural,Santa Fe,Nacional,,,21/7/2022,Cadena 3,Si,137,5,0,0,3,1,1,1,,26,17,191,"Sin lugar para los débiles 🎬
Antes de que los recolectores de Las Parejas se toparan con un tesoro entre la basura, los hermanos Coen se ocuparon de mostrarnos que el hallazgo de plata puede ser muy problemático http://ow.ly/gTuU50K1IwQ","Sin lugar para los débiles

Cuando encontrar miles de dólares se transforma en pesadilla
Antes de que los recolectores de Las Parejas se toparan con un tesoro entre la basura, los hermanos Coen se ocuparon de mostrarnos que el hallazgo de plata puede ser muy problemático.

21/07/2022 | 09:37

  





Salvando las distancias entre  la  lejana Texas de 1980 y Las Parejas de 2022, los hermanos Ethan y Joel Coen plantearon hace 15 años en ""Sin lugar para los débiles"" (No Country for Old Men) el problema ético,filosófico y legal de encontrar, inesperadamente, una montaña de dólares.

En la película que protagonizaron  Javier Bardem,Josh Brolin y  Tommy Lee Jones eran 2 millones.En Las Parejas nadie conoce la cifra exacta que oculta la basura, pero las versiones más confiables  hablan de 75 mil dólares que ya  están a buen recaudo en la casa  de algunas afortunados  pero tal vez haya más. Eso es lo que esperan los que se hicieron de una pala o una horquilla  y desde el lunes  aguantan el hedor y revuelven los desechos de todo el pueblo esperando dar con el billete salvador.


""Sin lugar para los débiles"" llenó de premios y de prestigio a los Coen, dos tipos audaces que  leyeron la novela de Comac McCarthy y realizaron una maravillosa adaptación.

La acción transcurre en la zona rural de Texas  hacia 1980. Allí el soldador y cazador Llewelyn Moss (Josh Brolin) descubre los restos de varios narcotraficantes que evidentemente  se  dispararon entre sí en un y no quedó nadie en pie para contarlo.

 En lugar de denunciar el descubrimiento a la policía, Moss decide simplemente tomar los  2 millones de dólares que  quedaron junto a los despojos de los narcos.

Mirá también

El arte de lavar dinero

""Ozark"", la serie que mostró lo que descubrieron en Córdoba
 Esto pone al asesino psicópata, Anton Chigurh (Javier Bardem), a su caza mientras acaba con la vida de casi todos los rivales, espectadores e incluso empleadores en su búsqueda de su presa y el dinero.

Mientras Moss intenta desesperadamente mantener un paso adelante, la sangre de esta cacería comienza a fluir detrás de él con una intensidad cada vez mayor a medida que Chigurh se acerca. 

Si es por las similitudes entre realidad y ficción , en principio  los dólares  no tienen dueño aparente, pero en  ambos casos existe la convicción de que  en cualquier momento puede aparecer. En el basural  ya encontraron una carta misteriosa-no importa que nadie crea en su contenido-que alude a  una recolección de fondos para la Organización Mundial de la Salud.

En cuanto a la película, desde el principio Moss sabe que esa plata quema y que alguien  peligroso irrumpirá  en cualquier momento  para llevársela.

Puede que haya gente que aún no haya visto la película de los Coen por lo que no se contará aquí que sucedió con el hombre que encontró los 2 millones de dólares. Sin spoilear nada importante , entre el hallazgo y la aparición de la palabra fin, pasa de todo. Hay traiciones, pase de facturas  y un montón de detalles que los realizadores son capaces de incluir en un film para que el espectador se pregunte si el dinero es una solución o un problema.

Un dato adicional.Ethan y Joel sumaron a sus respectivas cuentas bancarias mucho más que los 2 millones de dólares de la ficción  porque su película  obtuvo  4 premios Oscar - Mejor película, Mejor director y Mejor guion adaptado-5? .Además ganó 3  Premios Bafta y  2 Premios Globo de Oro.",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid032vA8LZjJHGZFX7FbPufbbbi7ynpPRwdNeHe5WMnp5FMgN9trx9iKzW5dg6e44Jd6l,Incendio,Se incendió la casa y murieron,,Nacional,,,21/7/2022,ElDoceTv,Si,499,5,39,0,7,4900,6,6,,267,219,5948,"La tragedia de una mamá con sus hijos
Una mujer intentó salvar a sus niños de un feroz incendio en su casa, pero murió con ellos. Bomberos los encontraron sin vida abrazados debajo de una cama. Ocurrió en la localidad de Comodoro Rivadavia.","Una madre murió abrazada a sus hijos en un incendio tras intentar salvarlos
La casa de las víctimas ardió en llamas y ellos se encontraban en el interior. Ocurrió en la localidad de Comodoro Rivadavia.
Por: El DoceJueves 21 de Julio de 2022
incendio.
El incendio se desató en Comodoro Rivadavia.
La trágica muerte de una madre con sus dos hijos conmocionó a la ciudad de Comodoro Rivadavia, Chubut. Todo ocurrió en el marco de un feroz incendio que se desató en la casa de las víctimas con ellos en el interior, Kevin (9), Alan (5), Benjamín (2) y su mamá, Mónica Gallardo. 

Kevin fue el único que se salvó gracias a la ayuda de los vecinos. Al ver que los otros dos pequeños seguían entre las llamas, Mónica corrió con ellos a esconderse debajo de una cama, los abrazó y murió junto a ellos.


Mónica Gallardo y sus hijos. 

Medios locales confirmaron que así encontraron los Bomberos a las víctimas. “Los abrazó a los pequeños abajo de una cama y esa escena desgarradora fue la que se encontraron los bomberos al ingresar tras sofocar el fuego. La mascota de la familia, un caniche, se encontraba en medio de ellos”, sostuvo uno de los trabajadores al medio ADN Sur.

+ MIRÁ MÁS: A una familia de Córdoba le robaron 11 veces en 10 meses: “Me quiero ir de acá”

El papá de los niños y esposo de Mónica, quien también vivía con ellos, se encontraba trabajando al momento de la tragedia. Si bien alcanzó a enterarse lo que estaba pasado, cuando llegó ya era demasiado tarde. La casa estaba completamente destruida y había perdido a su familia.

Personal de Criminalística realizó las pericias para establecer las causas de las llamas, pero aún se desconocen los resultados. Tanto el esposo de Mónica Gallardo como Kevin, requirieron asistencia psicológica para enfrentar el duelo.",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0wYunFRGshNAK1dhMUrk14cUwpBM2ktKayUwytS3wUXRgdBFQ7H9Y6RwNfnJiCDmWl,Incendios,Incendio en planta de gas,Villa Esquiú,Provincial,,,21/7/2022,ElDoceTv,Si,51,1,24,0,0,25,0,0,,5,18,124,"Los videos del incendio en la planta de gas
Sucedió en una envasadora ubicada en Villa Esquiú. Las imágenes que captaron los vecinos.","Se incendió una planta de gas y hubo heridos: los videos
Sucedió en una envasadora ubicada en Villa Esquiú. Cortaron avenida Capdevila por precaución.
Por: El DoceJueves 21 de Julio de 2022
incendio gas
Vecinos estuvieron a metros del incendio durante los primeros minutos.
La columna de humo negro y las llamas de varios metros de altura pusieron en alerta a miles de vecinos de Córdoba capital. El incendio comenzó en un camión que transportaba garrafas y tomó parte del depósito de Varigas, una planta envasadora de gas ubicada en el kilómetro 3,5 de avenida Arturo Capdevila. 

De acuerdo a las primeras informaciones, los heridos serían al menos cinco. Fueron trasladados de urgencia al Instituto del Quemado.

Los Bomberos actuaron minutos después del incendio y lograron controlarlo, aunque el trabajo para evitar nuevos focos continuaba pasadas las 10 de la mañana. Por el momento, se desconocen las causas que iniciaron el fuego.

+ MIRÁ MÁS: Quisieron pagar el taxi con marihuana y lo destruyeron con un bate

Preventivamente, se cortó el tránsito en avenida Capdevila. Cerca de las 11, el camino fue rehabilitado.



Videos

A los pocos minutos se multiplicaron los videos del incendio. Desde distintos puntos, algunos a muy pocos metros, vecinos grabaron las llamas y expresaron su preocupación ante el material inflamable. Así lo mostró El Show del Lagarto:

Play Video
¿TE GUSTÓ LA NOTA?
SI0NO0",,
Seguridad,,https://www.instagram.com/p/CgRrBwSvkUC/,Incendios,Incendio en planta de gas,Villa Esquiú,Provincial,,,21/7/2022,Instagram-Cadena3,Si,,,,,,,,,3650,99,,3749,"Verificado
URGENTE 🚨
Explosión en una envasadora de gas en Córdoba: hay heridos 🔥
Sucede en la región conocida como El Quebrachal, en el norte de la ciudad capital. Hay un fuerte operativo de seguridad, que incluye ambulancias y Policía 📻📲",,,
Seguridad,,https://www.instagram.com/p/CgRv246MZwP/,Incendios,Incendio en planta de gas,Villa Esquiú,Provincial,,,21/7/2022,Instagram-LaVoz,Si,,,,,,,,,349,3,,352,"Bomberos lograron extinguir un incendio que se desató en una planta de gas ubicada en barrio Villa Esquiú de la ciudad de Córdoba.

🔥 El siniestro inició en un camión que transportaba garrafas y se encontraba en la planta Vari Gas, ubicada en el kilómetro 3,5 de Arturo Capdevilla. El fuego afectó al menos a un galpón.

Más información en @lavozcomar | Link en Bio.",,,
Seguridad,,https://www.instagram.com/p/CgScYWiMnvj/,Incendios,Incendio en planta de gas,Villa Esquiú,Provincial,,,21/7/2022,Instagram-LaVoz,Si,,,,,,,,,290,9,,299,"Verificado
Amedia mañana del jueves, un incendio se desató en una planta fraccionadora de gas ubicada en el extremo noroeste de la ciudad de Córdoba. El incidente comenzó cerca de las 10 en el predio que la firma Vari Gas tiene en el kilómetro 13,5 del camino a Santa Rosa, a pocas cuadras del límite entre la ciudad de Córdoba y Colonia Tirolesa.

Tras el comienzo del fuego, 14 operarios se autoevacuaron del lugar, de los cuales siete debieron ser derivados al Instituto del Quemado para su atención. Tres de ellos fueron derivados en móviles policiales, uno lo hizo en un vehículo particular y tres más fueron trasladados por la ambulancia del 107.",,,
Seguridad,,https://www.facebook.com/Cadena3Argentina/posts/pfbid02hXQLqHiQzzZmJLHkUouxoTCECp3NJ3op57gBDxjdZLpoW3r8DMhMV72AY91SApz3l,Incendios,Incendios forestales,,Nacional,,,21/7/2022,Cadena 3,Si,35,0,4,0,2,45,0,1,,9,8,104,"Preocupación local y global
Incendios forestales: ""La tierra tarda años en regenerarse"" ","Incendios forestales: ""La tierra tarda años en regenerarse""
Las provincias de San Luis, Córdoba y Santa Fe registraban hasta hace horas focos activos. A la par, causan estragos en Europa. Un especialista analizó el fenómeno en Cadena 3 Rosario.  

20/07/2022 | 19:52

Redacción Cadena 3 Rosario

  

AUDIO: Incendios forestales: ""La tierra tarda años en regenerarse"", dijo especialista Gutman

‹›

La ola de calor que sufren la península ibérica y otras zonas de Europa en los últimos días derivó en la urgencia de evacuar a miles de personas y lamentar cientos de víctimas fatales por las altas temperaturas. Se registran decenas de incendios forestales y las imágenes de brigadistas que luchan contra las llamas se repiten en España, Portugal y Francia. A la par, se combaten incendios forestales de gran magnitud en Canadá y el oeste de Estados Unidos.

La situación en Argentina tampoco es para estar tranquilos en ese aspecto: arrancó de manera anticipada la temporada de incendios en invierno y se registran condiciones de peligrosidad en el Delta del Paraná y gran parte de la zona norte y centro del país, como los focos activos que se registraron en las últimas horas en Dupuy, en San Luis; en Tulumba II, en Córdoba y en San Gerónimo; en Santa Fe. Paralelamente, las impactantes imágenes de la ""tierra arrasada"" por el fuego en el delta de río Paraná. 

“Estamos en un mundo donde los fuegos arrasan hace tres años, consumen miles de hectáreas y acá unos locos terratenientes creen que porque son dueños de tierras pueden prender fuego, una visión muy de argentinos, que creen que pueden hacer lo que quieren. Son crímenes ambientales, no hay necesidad de hacerlos. Menos en autopistas (donde muchas veces el humo que destilan genera choques por baja visibilidad), es un delito penal en muchos países”, dijo Nicolás Gutman, responsable del área ambiental del Centro de Estudios Económicos y Sociales Scalabrini Ortiz (Ceso) a Rodrigo Ipolitti en Informados al Regreso por Cadena 3 Rosario.

Mirá también

Audio
Incendios en las islas

""El fuego se reanima cuando se va la humedad de la noche""
En un informe de reciente publicación, desde el Ceso resaltaron que ""la ocurrencia de incendios intencionales en el país con el objetivo de modificar el uso del suelo para adaptarlos a actividades productivas agrícolas, ganaderas o inmobiliarias, juntamente con prácticas de quema por fuera del sistema legal de permisos y regulaciones ha tenido un aumento preocupante en la ultima década"".

Consultado por los motivos que pueden llevar a iniciar un foco de incendio, Gutman teorizó que “en general” responde a que “hay negocios inmobiliarios atrás” o bien a “prácticas que utilizan en el sector rural que ya no pueden existir”.

Mirá también

Audio
Quemas en el Delta

Duplicarán la cantidad de brigadistas para frenar incendios
“Es una forma de ir limpiando los campos, para atraer ganado, cambiar el uso del suelo, o porque es más barato prender fuego que hacer la limpieza como corresponde, otro por negocios inmobiliarios atrás”, resaltó el politólogo y especialista en políticas públicas ambientales.

A la hora de apuntar las responsabilidades de las autoridades públicas, señaló que “hay un estado cómplice, a nivel provincial y nacional”.

Mirá también

Audio
Quemas

Incendios: Entre Ríos también pide que la justicia actúe
“Muchas partes del Estado responden a dueños de la tierra, la Sociedad Rural. Los estados en Argentina, independientemente de quién está en el poder, en algunos momentos más y en otros menos, está muy fuertemente intervenido por estos lobbys. En el caso de las quemas que se están dando en Santa Fe, Entre Ríos, Buenos Aires, está relacionado al campo. Pero en Córdoba, por ejemplo, se vio por especulación inmobiliaria, un bosque nativo en el que quieren hacer un country”, resaltó Gutman.

Y cerró: “Es un crimen ambiental, está tipificado como delito penal. Además, la tierra quemada impide la filtración de agua en momentos de inundaciones, genera un deslizamiento, la impermeabiliza. Es un problema, tarda cientos de años en regenerarse, enormes extensiones muy fértiles, para hacer un negocio más rápido queman patrimonio que no es de ellos, es intergeneracional. Todo a partir de modelos de negocio que, aunque son ahora muy fuertes, son anticuados, anti sociedad y anti económicos”.",,
Seguridad,,https://www.facebook.com/Cadena3Argentina/posts/pfbid0m6U3Y1ENTdP6hzqtAk6NBkTEZeyPZrCVY4JbEckmVLRMZzyqud3y6nv7HC1inpk2l,Incendios,Incendio en planta de gas,Villa Esquiú,Provincial,,,21/7/2022,Cadena 3,Si,65,0,41,0,1,60,0,0,,19,15,201,"Hubo un fuerte operativo de seguridad, que incluyó ambulancias y Policía http://ow.ly/yRR150K1ulz","Explosión en una envasadora de gas en Córdoba: 5 heridos
Sucedió en la región conocida como El Quebrachal, en el norte de la ciudad capital. Hubo un fuerte operativo de seguridad, que incluyó ambulancias y Policía.

21/07/2022 | 12:22

Redacción Cadena 3

  

AUDIO: Explosión en una envasadora de gas en Córdoba: 5 heridos

AUDIO: Explosión en una envasadora de gas en Córdoba: 5 heridos
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba

FOTO: Explosión en una envasadora de gas en Córdoba
FOTO: Explosión en una envasadora de gas en Córdoba


AUDIO: Tras la explosión, cuatro personas fueron derivadas al Instituto del Quemado

AUDIO: Tras la explosión, cuatro personas fueron derivadas al Instituto del Quemado
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

FOTO: Explosión en una envasadora de gas en Córdoba.
FOTO: Explosión en una envasadora de gas en Córdoba.

‹›



















Una explosión dejó cinco heridos en una planta envasadora de gas en El Quebrachal. 

La detonación ocurrió en el sector de propano. Los heridos no son de gravedad, pero fueron derivados al Instituto del Quemado.

La zona fue evacuada y el camino fue cortado.

El jefe de Servicio del Instituto del Quemado, Damián Andrade, confirmó a Cadena 3 que al centro de salud llegaron cuatro personas con heridas. Un paciente ya fue dado de alta y que otros tres se encuentran internados en terapia intensiva con asistencia respiratoria mecánica.

""Los pacientes tienen poco porcentaje de quemaduras pero tienen afectadas las vías respiratorias, la cara y parte de sus miembros superiores. Lo más lógico para atender la evolución es que estén en terapia intensiva para evitar mayores complicaciones en las vías respiratorias"", explicó Andrade.


Informe de Juan Pablo Viola ",,
Seguridad,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid02MHcXtFTpj5PaEam3tRf6DkNxmjqYir6VvcN3UxuXpmNvPfJgdpVca7s2wu2AsgHtl,Incendios,Incendio en vivienda,Comodoro Rivadavia,Nacional,,,21/7/2022,La Voz del Interior,Si,17,0,1,0,1,393,0,0,,23,9,444, Intentó salvar a sus dos hijos de un incendio y los tres murieron abrazados abajo de una cama. Ocurrió en Comodoro Rivadavia. El perro de la familia también falleció junto a ellos.," Intentó salvar a sus dos hijos de un incendio y los tres murieron abrazados abajo de una cama
La mamá falleció intentando proteger a sus hijos en medio del incendio. Todos fallecieron.
La mamá falleció intentando proteger a sus hijos en medio del incendio. Todos fallecieron.
LO MÁS LEÍDO
Papá y mamá se las ingeniaron para darle a su hijo lo que pedía para las vacaciones de invierno. (Villa María Ya)
VIRAL
Ingenio de papá y mamá: su hijo les pidió una “Big Mac”, no la podían comprar y así lo resolvieron
1
Foto: captura pantalla
TV
Luciana Salazar finalmente contó la verdad detrás de su hija y el vínculo con Martín Redrado
2
Quini 6
CIUDADANOS
Quini 6: sorteo 2.977 de hoy miércoles 20 de julio, los números ganadores
3
Julián Vignolo
FÚTBOL
Tiene 15 años, es el goleador de inferiores y ya lo subieron al plantel profesional de Racing de Nueva Italia
4
Feriados 2022: ¿Cuántos fines de semana largos tendrá el calendario?
CIUDADANOS
Feriados 2022: el calendario completo
5
La tragedia ocurrió en Comodoro Rivadavia. El perro de la familia también falleció junto a ellos. Las muertes habrían sido por asfixia.

Redacción LAVOZ
Redacción LAVOZ
Jueves, 21 de julio de 202208:32 hs

Una madre y sus dos pequeños hijos murieron este miércoles en el incendio que se registró en una vivienda de Comodoro Rivadavia, en Chubut. Dentro del domicilio estaba una mujer de 35 años con sus tres hijos, de 9, 5 y 2 años. Solo el mayor logró sobrevivir.

El incendio se produjo “por razones que aún tratamos de establecer para lo cual está trabajando criminalística”, indicaron a Télam desde el cuerpo de bomberos voluntarios que llegó a la calle Las Rosas casi Huergo, cuando el incendio estaba generalizado.

En el interior de la vivienda también fue encontrada una mascota en medio de la mamá y sus hijos.

Un camionero alcoholizado atropelló y mató a un niño de 4 años en Tartagal, Salta.
Salta: un conductor alcoholizado chocó y mató a un niño de 4 años
Según confirmaron fuentes policiales, la mujer alcanzó a avisarle por teléfono a su marido sobre lo que estaba pasando. Los primeros en llegar al lugar fueron los vecinos, que lograron rescatar al nene de 9 años. La mamá entró para sacar a los otros dos hermanitos pero no sobrevivió.

TRAGEDIA EN COMODORO RIVADAVIA: CÓMO FUE EL INCENDIO
Las llamas comenzaron antes de las 11 de la mañana de este miércoles en una vivienda del barrio San Martín de dicha localidad. “Cuando llegamos el incendio estaba generalizado y había alcanzado la parte del techo, con el cielo raso totalmente tomado por el fuego”, explicó el jefe del cuartel que intervino, José Ayamilla, a los medios locales.

El intenso viento que sopla en la zona ayudó a que el fuego se propagara.

Cuando el padre logró llegar a la casa, el fuego se había generalizado y ya no había nada por hacer.

Producto del incendio murieron una mujer, sus dos hijos y el perro de la familia. (Radio 3 Cadena Patagonia)
Producto del incendio murieron una mujer, sus dos hijos y el perro de la familia. (Radio 3 Cadena Patagonia)
El cuerpo de la madre fue encontrado junto al de sus pequeños en la pieza de los chicos. Se habían escondido debajo de la cama para evitar ser alcanzados por las llamas.

La causa de muerte habría sido por asfixia debido a la cantidad de humo que rápidamente se extendió por toda la casa, quequedó totalmente consumida por las llamas.

La zona donde encontraron los cuerpos. (La Capital)
Rosario: asesinaron a dos hermanas y encontraron sus cuerpos en un basural
“Los abrazó a los pequeños abajo de una cama y esa escena desgarradora fue la que se encontraron los bomberos al ingresar tras sofocar el fuego. La mascota de la familia, un caniche, se encontraba en medio de ellos”, indicó uno de los bomberos al medio local.

En las últimas horas de este miércoles, se esperaba la llegada de personal de Criminalística para la realización de las pericias de rigor y que puedan establecer las causas de las llamas.", ,
Seguridad,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid0oUQ81yTizbrjiBsRqEfjKhRNV9DRUfG246ooQPfBQScN4ZQd8mZYGGAsNGGtp97Rl,Incendios,Incendio en vivienda,Comodoro Rivadavia,Nacional,,,21/7/2022,La Voz del Interior,Si,25,0,1,0,0,341,0,1,,19,7,394, La tragedia ocurrió en Comodoro Rivadavia. El perro de la familia también falleció junto a ellos. Las muertes habrían sido por asfixia. Mucho dolor en esa ciudad por esta historia impact," Intentó salvar a sus dos hijos de un incendio y los tres murieron abrazados abajo de una cama
La mamá falleció intentando proteger a sus hijos en medio del incendio. Todos fallecieron.
La mamá falleció intentando proteger a sus hijos en medio del incendio. Todos fallecieron.
LO MÁS LEÍDO
Papá y mamá se las ingeniaron para darle a su hijo lo que pedía para las vacaciones de invierno. (Villa María Ya)
VIRAL
Ingenio de papá y mamá: su hijo les pidió una “Big Mac”, no la podían comprar y así lo resolvieron
1
Foto: captura pantalla
TV
Luciana Salazar finalmente contó la verdad detrás de su hija y el vínculo con Martín Redrado
2
Quini 6
CIUDADANOS
Quini 6: sorteo 2.977 de hoy miércoles 20 de julio, los números ganadores
3
Julián Vignolo
FÚTBOL
Tiene 15 años, es el goleador de inferiores y ya lo subieron al plantel profesional de Racing de Nueva Italia
4
Feriados 2022: ¿Cuántos fines de semana largos tendrá el calendario?
CIUDADANOS
Feriados 2022: el calendario completo
5
La tragedia ocurrió en Comodoro Rivadavia. El perro de la familia también falleció junto a ellos. Las muertes habrían sido por asfixia.

Redacción LAVOZ
Redacción LAVOZ
Jueves, 21 de julio de 202208:32 hs

Una madre y sus dos pequeños hijos murieron este miércoles en el incendio que se registró en una vivienda de Comodoro Rivadavia, en Chubut. Dentro del domicilio estaba una mujer de 35 años con sus tres hijos, de 9, 5 y 2 años. Solo el mayor logró sobrevivir.

El incendio se produjo “por razones que aún tratamos de establecer para lo cual está trabajando criminalística”, indicaron a Télam desde el cuerpo de bomberos voluntarios que llegó a la calle Las Rosas casi Huergo, cuando el incendio estaba generalizado.

En el interior de la vivienda también fue encontrada una mascota en medio de la mamá y sus hijos.

Un camionero alcoholizado atropelló y mató a un niño de 4 años en Tartagal, Salta.
Salta: un conductor alcoholizado chocó y mató a un niño de 4 años
Según confirmaron fuentes policiales, la mujer alcanzó a avisarle por teléfono a su marido sobre lo que estaba pasando. Los primeros en llegar al lugar fueron los vecinos, que lograron rescatar al nene de 9 años. La mamá entró para sacar a los otros dos hermanitos pero no sobrevivió.

TRAGEDIA EN COMODORO RIVADAVIA: CÓMO FUE EL INCENDIO
Las llamas comenzaron antes de las 11 de la mañana de este miércoles en una vivienda del barrio San Martín de dicha localidad. “Cuando llegamos el incendio estaba generalizado y había alcanzado la parte del techo, con el cielo raso totalmente tomado por el fuego”, explicó el jefe del cuartel que intervino, José Ayamilla, a los medios locales.

El intenso viento que sopla en la zona ayudó a que el fuego se propagara.

Cuando el padre logró llegar a la casa, el fuego se había generalizado y ya no había nada por hacer.

Producto del incendio murieron una mujer, sus dos hijos y el perro de la familia. (Radio 3 Cadena Patagonia)
Producto del incendio murieron una mujer, sus dos hijos y el perro de la familia. (Radio 3 Cadena Patagonia)
El cuerpo de la madre fue encontrado junto al de sus pequeños en la pieza de los chicos. Se habían escondido debajo de la cama para evitar ser alcanzados por las llamas.

La causa de muerte habría sido por asfixia debido a la cantidad de humo que rápidamente se extendió por toda la casa, quequedó totalmente consumida por las llamas.", ,
