Vertical 1,Vertical 2,Noticia (link),Etiqueta,Etiqueta específica,etiqueta 3,Región,Personalidad destacada,...9,Fecha,Diario,Si,Me gusta,Simpatía,Asombro,Diversión,Descreimiento,Tristeza,Enojo,Me importa,Likes,Comentarios...22,Compartidos,Interacciones,Cuerpo del Post,Cuerpo de la noticia,Comentarios...27,Link del comentario
Salud,,https://www.instagram.com/p/Cf1jh-xM6M5/,Viruela de mono,Casos Arg,,Nacional,,,10/7/2022,Instagram-Cadena3,Si,,,,,,,,,354,29,,383,"Verificado
ALERTA SANITARIA ⭕
El Ministerio de Salud de la Nación, a partir de resultados recibidos de parte del Instituto Nacional de Enfermedades Infecciosas (INEI), confirmó este sábado el diagnóstico de viruela símica en dos pacientes que residen en la ciudad de Buenos Aires (CABA).

Las personas referidas no tienen vínculo alguno entre ellos, pero sí es coincidente, como antecedente, que ambos arribaron recientemente al país provenientes de Europa",,,
Salud,,https://www.facebook.com/eldocetv/posts/pfbid0o8dMwhpQiwhpqJPPDCBAqPALSPsyRKwBqwLW8wquwK5ZawZWB7nEXp5n6H6CVoD1l,Viruela de mono,Casos Arg,,Nacional,,,13/7/2022,ElDoceTv,Si,253,2,148,0,105,30,27,0,,148,134,847,"Dos contagiados con viruela del mono en córdoba
Son hombres que regresaron de viaje al exterior. Están aislados y no tienen contactos estrechos.","Se confirmaron dos nuevos casos de viruela del mono en Córdoba
Los hombres de 29 y 34 años regresaron de Europa días atrás. No tienen contactos estrechos y evolucionan favorablemente.
Por: El DoceMiércoles 13 de Julio de 2022
Viruela del mono casos Córdoba.
El Hospital Rawson está realizando el seguimiento de los pacientes.
El Ministerio de Salud provincial confirmó que dos hombres de 29 y 34 tienen viruela del mono. Son oriundos de Córdoba capital y regresaron de Europa hace algunos días.

Los pacientes presentaron síntomas entre el 3 y 5 de julio. Según indicaron desde el área de Epidemiología tuvieron fiebre, cefalea, mialgias, pústulas y costras en la piel. Uno de ellos se sometió a un análisis de laboratorio, mientras que el otro se confirmó por contacto estrecho.

“No tienen contactos de riesgo en nuestro país”, informaron las autoridades. Están aislados en sus domicilios y evolucionan favorablemente.

+ MIRÁ MÁS: Es cordobesa y atendió los primeros casos de viruela del mono en Londres

Con estos, la provincia llegó a los tres casos confirmados de viruela del mono. El primer paciente había dado positivo el 30 de junio pasado tras volver de México. En Argentina ya son 12, de los cuales 11 tenían antecedentes de viaje.

Los síntomas

-Fiebre

-Dolor muscular, de cabeza y espalda

-Escalofríos

-Cansancio o fatiga

-Inflamación de los ganglios linfáticos 

-Erupción en cara y cuerpo tres días después de la aparición de la fiebre",,
Salud,,https://www.instagram.com/p/Cf9ZJo6sw9K/,Viruela de mono,Casos Arg,Viruela del Mono,Nacional,,,13/7/2022,Instagram-LaVoz,Si,,,,,,,,,134,4,,138,"El Ministerio de Salud de Córdoba informó el diagnóstico de viruela en dos hombres de 29 y 34 años de edad, oriundos de Córdoba, con antecedente de viaje a Europa.

👉 Desde el área de Epidemiología de la Provincia detallaron que la personas comenzaron con síntomas entre el 3 y 5 de julio. Uno de los casos presentó fiebre, cefalea, mialgias, astenia, pústulas y costras en la piel; el segundo caso manifestó sintomatología muy leve. No registran contactos de riesgo en nuestro país.

👉 Los viajeros consultaron el 7 de julio en el Hospital Rawson donde sospecharon la infección y se tomaron las muestras correspondientes para realizar el diagnóstico. Las mismas fueron derivadas al Laboratorio central de la provincia de Córdoba donde la prueba PCR dio positivo para viruela símica y luego enviadas al ANLIS Malbrán donde se confirmó el resultado el día 12 de julio.

👉 Cabe destacar que las personas, permanecen en aislamiento y evolucionan favorablemente con control domiciliario por parte del Hospital Rawson

👉 El contagio de una persona a otra puede ocurrir por contacto estrecho con secreciones de las vías respiratorias, o lesiones en la piel de quien cursa la infección o con objetos contaminados recientemente con los fluidos del paciente o materiales de la lesión. Cabe destacar que, debido al contacto íntimo con lesiones cutáneas infecciosas, el contacto sexual constituye un modo probable de transmisión. Asimismo, puede ocurrir por inoculación o a través de la placenta (viruela símica congénita).

👉 El periodo de incubación generalmente es de 6 a 16 días, pero puede variar entre 5 y 21 días.

Más información en @lavozcomar | Link en Bio.",,,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid02VwKWhigMRHi6t2Dk5HJ6S8bhL8twLRYnYjwxRHBdGjKKaRPpnQwGWGfzJJ5cdYByl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,13/7/2022,ElDoceTv,Si,227,2,15,0,0,57,83,1,,314,438,1137,"Exclusivo: las últimas imágenes de Romo con vida
El hombre de 36 años murió en la comisaría de La Falda horas después a ser detenido en la calle. Tres altos jefes policiales fueron desplazados.","Exclusivo: el video de la detención del hombre que murió en la comisaría de La Falda
Son las últimas imágenes de Jonatan Romo con vida. Tras su muerte, el Ministerio de Seguridad de la Provincia desplazó a tres altos jefes policiales.
Por: El DoceMiércoles 13 de Julio de 2022
 jonathan-romo-detenido-muerto-la-falda
La última imagen de Romo con vida.
Jonatan Romo (36) fue detenido en la calle “por disturbios” el domingo y horas más tardes falleció en la comisaría de La Falda, cuando era requisado.

Mientras la fiscalía de Cosquín investiga su muerte, el Ministerio de Seguridad de la Provincia de Córdoba ordenó una serie de desplazamientos que impactaron en la Jefatura de Policía.

 + MIRÁ MÁS: Muerte de un detenido: jefe policial sancionado había acusado al “perejil” del caso Basaldúa

En las últimas horas, El Doce tuvo acceso a videos del momento en que Romo es arrestado. Son las últimas imágenes de él con vida.

En los primeros registros, el hombre no mostró resistencia. Cuando llegaron los móviles policiales, se puso de rodillas y luego se tiró al suelo. Acto seguido, tres efectivos lo redujeron hasta esposarlo. 

 + VIDEO: El momento en que detuvieron al hombre en La Falda

Play Video
Según contó su hermano Hernán Romo en Arriba Córdoba, tenía problemas de adicciones y aclaró que “era una persona enferma, no un ladrón y estaba medicado”. La víctima era papá de dos niños.

“Lo llevaron a la comisaría por un supuesto disturbio en una despensa. Dicen que entró y estaba en un brote psicótico, no estaba en sus cabales”, relató. La causa de la muerte de Jonathan Romo aún es desconocida.

De acuerdo a lo que le informaron al hermano, “lo estaban requisando en la comisaría y se descompensó”. Luego llegó personal del servicio de emergencia y “supuestamente le hicieron una reanimación de 45 minutos y no pudieron sacarlo del supuesto paro”. 



Muerte en una comisaría y purga en la Jefatura

El Ministerio de Seguridad de la Provincia de Córdoba ordenó desplazar al comisario inspector Diego Alejandro Bracamonte como titular de la Departamental Punilla Norte.

Por otro lado, dispusieron el pase a retiro obligatorio del comisario general Julio César Faria,  director general de Recursos Humanos, Formación Profesional y Entrenamiento Policial, y del comisario inspector Marcos Germán Manrique, a cargo de la Dirección de Entrenamiento Profesional Permanente. 

Además, el Tribunal de Conducta de las Fuerzas de Seguridad puso situación pasiva a seis policías que se trabajaban en la comisaría de La Falda.

Bracamonte, el jefe bajo la lupa 

En 2020, se desempeñaba como segundo Jefe del Departamento de Investigaciones de Punilla. Estuvo a cargo de la investigación por la desaparición de Cecilia Basaldúa, quien fue asesinada en Capilla del Monte.

Él fue el encargado de ordenar la detención de Lucas Bustos, que estuvo preso dos años y fue absuelto hace menos de dos semanas. ""Tener a este supuesto asesino de Cecilia le valió el ascenso al poco tiempo"", manifestó Daniela Pavón, abogada de la familia de Basaldúa. 

cecilia-basaldua

Después de la captura del ""perejil"", Diego Bracamonte pasó de segundo jefe del Departamento de Investigaciones de Punilla a jefe de la Departamental Punilla Norte.



¿TE GUSTÓ LA NOTA?
SI1NO5",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0jUm3JXddgeGEFLXYqkUcTB6cgm9HkAsz3HATgZLTzhYNkNqZnaKBfNvxDk6VdHQNl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,13/7/2022,ElDoceTv,Si,52,0,4,0,9,16,8,0,,61,13,163,"Duras sanciones para tres comisarios
El ministro Mosquera señaló en qué fallaron los policías que detuvieron a un hombre que luego murió en una comisaría.","Muerte en la comisaría: Mosquera indicó en qué fallaron los jefes policiales
El ministro de Seguridad de la Provincia aseguró que en el caso de La Falda no se siguió el protocolo de actuación para detenidos con enfermedades mentales. ""Consideramos indispensable tomar recaudos"", sostuvo sobre la investigación en marcha.
Por: El DoceMiércoles 13 de Julio de 2022
FacebookTwitterG-PlusCommentsPrintEmail
romo muerte comisaria
Jonatan Romo murió tras ser trasladado a la Comisaría de La Falda.
La muerte de un hombre en la comisaría de La Falda provocó el apartamiento de tres altos mandos en la Policía de Córdoba. Tras las duras sanciones aplicadas, el ministro de Seguridad de la Provincia, Alfonso Mosquera, indicó que hubo fallas en el procedimiento de los uniformados.

El funcionario señaló en Noticiero Doce principalmente ""la inobservancia de los protocolos de actuación respecto del manejo de los detenidos que están en situación de crisis o con sus facultades mentales alterada"".

+ MIRÁ MÁS: Exclusivo: el video de la detención del hombre que murió en la comisaría de La Falda

Explicó que ante esas situaciones, las personas deben ser trasladadas a un centro asistencial y no a una dependencia policial. ""En este caso esas circunstancias no fueron observadas"", remarcó al mencionar la guía aprobada entre el Tribunal Superior de Justicia (TSJ), el Ministerio de Seguridad y el Ministerio de Salud provincial.

Mosquera destacó que hay una investigación penal en marcha. En tal sentido, declaró: ""Consideramos indispensable tomar recaudos para aventar cualquier tipo de injerencia o intromisión en el total esclarecimiento de este hecho luctuoso"".

+ VIDEO: la palabra de Mosquera tras la muerte en la comisaría:

Play Video
 

Los jefes desplazados

El Ministerio de Seguridad desplazó a tres comisarios por la muerte de Jonatan Romo en La Falda. Los policías lo trasladaron por provocar disturbios. En una oficina de la fuerza de seguridad se descompensó y murió.

La causa está en manos del fiscal de turno de Cosquín, Raúl Ramírez, aunque las primeras medidas fueron dirigidas por la fiscal Paula Kelm.

Uno de los apartados es el comisario inspector Diego Alejandro Bracamonte, quien cumplía funciones como jefe de la Departamental Punilla Norte. Su trabajo quedó vinculado a la acusación contra el ""perejil"" del caso Cecilia Basaldúa.

+ MIRÁ MÁS: Desbaratan un desarmadero en Córdoba: uno de los detenidos tenía pedido de captura

Además retiraron de la Policía al comisario general Julio César Faria y al comisario inspector Marcos Germán Manrique.

Faria se desempañaba como director general de Recursos Humanos, Formación Profesional y Entrenamiento Policial. Manrique estaba a cargo de la Dirección de Entrenamiento Profesional Permanente.

Por otra parte, la Dirección de Control e Investigación de las Fuerzas de Seguridad dispusieron el pase a pasiva de seis agentes mientras avanza la causa judicial.",,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid0MFeJgEjwD7jndX2hwHBsByERJwN96Wi3iYDZTSpbPqZNN1YR3K51MenGSEGezWiwl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,13/7/2022,ElDoceTv,Si,143,1,16,0,1,70,11,1,,165,40,448,"Esperan la autopsia y analizan el video de la detención
Mientras la Justicia avanza por la muerte de Jonatan Romo, la familia fue aceptada como querellante en la causa. Su abogado relató un caso similar con el mismo protagonista en diciembre pasado.","Detención y muerte en La Falda: “Están reconociendo que algo falló en la institución”
El fallecimiento de Jonatan Romo derivó en desplazamientos dentro de la Fuerza. La familia del hombre fue aceptada como querellante. Su abogado contó que algo similar había ocurrido ""en diciembre"".
Por: El DoceMiércoles 13 de Julio de 2022
muerte-detencion-la-falda
El episodio derivó en la remoción de la Departamental Punilla Norte.
El video de la detención de Jonatan Romo en La Falda aparece como un material clave en la investigación que lleva a cabo la Justicia. El hombre de 36 años fue capturado por policías el domingo pasado y horas después falleció en la comisaría. 

Tras la remoción de la cúpula de la Departamental Punilla Norte, con tres jefes policiales desplazados y seis uniformados en situación pasiva, la familia de la víctima fue aceptada este miércoles como querellante en la causa.

El caso sigue siendo investigado por el fiscal de turno en la feria judicial, Raúl Ramírez. Esperan la autopsia del cuerpo de Jonatan Romo y el material filmográfico que apareció en las últimas horas también será fundamental en el proceso. 

+ MIRÁ MÁS: Por la muerte de un detenido en la Policía de La Falda, apartaron a tres comisarios

Luego de conocerse el video, el abogado de la familia del fallecido puso el foco en el accionar de los policías. ""No han removido a cualquier parte de la cúpula, es a la cúpula a cargo de la instrucción de los policías"", remarcó Carlos Galli a Telenoche.

Y agregó al respecto: ""La misma Provincia ha prendido la luz roja y está reconociendo que algo falló en la institución"". Para Galli, los oficiales ""no saben atender a una persona que está fuera de sí"". 

+ VIDEO: la palabra del abogado Carlos Galli: 

Play Video
""Ningún policía ha estudiado cómo se hace en un protocolo cuando una persona sufre un brote psicótico. La prueba está que cuando él se quiere entregar, que se arrodilla y pone las manos en su espalda, automáticamente un policía se baja y le apunta con el arma"", precisó el letrado.

Antecedente cercano

El abogado de la familia Romo también relató en la entrevista otro episodio muy parecido que tuvo como protagonista al hombre muerto en las últimas horas.

""En diciembre, esta misma persona tuvo un brote psicótico y la Policía tampoco lo supo tratar"", contó. Galli precisó que ""lo esposaron contra el piso"" y que ""cinco policías le pegaron y le perforaron un riñón"". 

""Romo estuvo internado en un hospital público provincial a la espera de la resolución. No es la primera vez que le sucede esto, la segunda lo mataron"", cerró el abogado. 

¿TE GUSTÓ LA NOTA?
SI0NO0",,
Seguridad,,https://www.facebook.com/LaVoz.com.ar/posts/pfbid02uXisF9WRtf5ngoTBXPkoTNU8svD,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,13/7/2022,La Voz del Interior,Si,52,0,9,0,0,12,5,0,,19,15,112," El hombre había sido aprehendido en La Falda. Creen que estaba con un brote psicótico o bajo efectos de drogas. En la comisaría, sufrió un paro y murió. La Justicia investiga si hubo golpiza."," Muerte de un detenido en Córdoba: tres altos jefes policiales desplazados y seis uniformados en pasiva
La Falda. La comisaría donde ocurrió la muerte del hombre (La Estafeta On Line).
La Falda. La comisaría donde ocurrió la muerte del hombre (La Estafeta On Line).
LO MÁS LEÍDO
Sismo en Chile
VIRAL
Se cumplió el presagio del pez remo: hubo un fuerte sismo en Chile
1
Denis Rodríguez fue anunciado en el Celeste
FÚTBOL
Jugó en River, pasó por Belgrano y ahora fichó por el club santafesino de Scocco y “Maxi” Rodríguez
2
Azúcar o edulcorante
CIUDADANOS
Sustituir el azúcar por edulcorante no es tan bueno para la salud como parece
3
Viviana Canosa
TV
Cuánto podría cobrar Viviana Canosa por su juicio millonario contra la revista Noticias
4
Álvaro Cortéz
FÚTBOL
“Tilín”, el cebollita que deslumbra en Los Andes y ya captó un “grande” de Córdoba
5
El hombre había sido aprehendido en La Falda. Creen que estaba con un brote psicótico o bajo efectos de drogas. En la comisaría, sufrió un paro y murió. La Justicia investiga si hubo golpiza.

Claudio Gleser
Claudio Gleser
Martes, 12 de julio de 202215:34 hs

Mientras la Justicia penal investiga las circunstancias que rodean la muerte de un detenido en la comisaría de La Falda, el pasado domingo, el Ministerio de Seguridad de la Provincia desplazó de la fuerza a tres altos comisarios.

En paralelo, el Tribunal de Conducta de las Fuerzas de Seguridad ya puso poner en situación pasiva a seis uniformados que se desempeñaban en la dependencia cuando sucedió todo.

La investigación penal la tiene el fiscal de instrucción Raúl Ramírez.

El funcionario judicial espera los resultados de la autopsia para confirmar cómo murió el preso y si hubo o no golpiza por parte de los uniformados.

Los jefes desplazados por orden del ministro de Seguridad, Alfonso Mosquera, son:

El director de la Unidad Regional Departamental Punilla Norte, comisario inspector Diego Alejandro Bracamonte.
El director general de Recursos Humanos y Entrenamiento de la Policía, comisario general Julio César Faría.
El director de Entrenamiento Profesional Permanente (el segundo de Faría), comisario inspector Marcos Germán Manrique.
Mientras Bracamonte fue “desplazado”, Faría y Manrique fueron pasados a “retiro obligatorio”. Es decir, fueron enviados sus hogares.

“Es inadmisible que una persona que estaba alterada y con un visible trastorno mental, sea llevada a una comisaría y muera allí a poco de ser ingresada. Esa persona no fue llevada a un hospital o a un centro de salud. Se actuó mal. No menos serio es que hay que esperar qué indica la autopsia. Para eso, está la investigación de la Justicia”, expresaron a La Voz altas fuentes de Gobierno.

La persona fallecida es Jonathan Romo, quien tenía 34 años. Vivía en La Falda con su familia.

El caso se inició el pasado domingo, cuando Romo sufrió una crisis en una despensa de La Falda.

Según testigos, se tornó irascible y violento, y tomó una botella y la rompió.

En esas circunstancias, mantuvo un fuerte entredicho con otras personas y todo se trasladó a un predio cercano, donde volaron cascotes.

Hubo varios llamados al 911 y acudieron patrullas.

Unos policías lograron controlarlo y lo detuvieron.

MUERTE EN LA COMISARÍA
Acto seguido, lo trasladaron a la comisaría de La Falda.

Esa misma noche, mientras era “requisado en un vestíbulo” y “se le quitaban elementos como cordones” (según voceros), Romo se descompuso.

Acudió al rato, un servicio de emergencia y el cuerpo médico constató la muerte.

Se hicieron tareas de reanimación que fueron infructuosas.

No murió en una celda.

La noche del domingo, la fiscal Paula Kelm llegó a la dependencia y ordenó las primeras medidas. Como salió de feria (vacaciones), la instrucción recayó en su par, Raúl Ramírez.

CAUSA ABIERTA
En el marco de la investigación judicial se ordenaron peritajes y testimoniales, además del secuestro de libro de guardia y de celulares.

Se esperan los resultados de la autopsia.

En la fiscalía se intenta determinar, confirmar o descartar si presentaba lesiones externas o internas. Y si es así, cómo fueron causadas.

“Hubo una falla gravísima en el protocolo. No se puede morir una persona en una dependencia policial. La dependencia policial debe resguardar la integridad y no ser escenario de una muerte. Por eso, se han tomado las medidas que se tomaron”, expresaron desde el Ministerio de Seguridad.

TEMBLOR
Los retiros forzosos dispuestos contra Faría y Manrique repercuten directamente en la Jefatura.

Faría era de la Plana Mayor. Su dirección tiene a cargo la formación y entrenamiento de todas y todos los uniformados de la Policía en la provincia.

En la página oficial de la fuerza se señala que la Dirección de Recursos Humanos tiene como objetivo: “la selección de policías competentes, productivos y motivados, a través de la planeación, organización, dirección y control de sus recursos”.

(Noticia en desarrollo).

", ,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid02xJ9p26rTWEE43WYHGmrg2dSm4EMsPYWLfzj3vNdHLPAEie1oTbW3KaR8mDRbsbtWl,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,12/7/2022,La Voz del Interior,Si,77,0,5,0,4,1,19,0,,27,28,161," Duras sanciones para tres comisarios
Fueron apartados de sus cargos en la Policía por la muerte de un detenido en La Falda. El hombre de 36 años falleció en la Comisaría."," Muerte de un detenido: jefe policial sancionado había acusado al “perejil” del caso Basaldúa
Diego Bracamonte tuvo un rol fundamental en la investigación del femicidio en Capilla del Monte. En las últimas horas fue desplazado por la muerte en la comisaría de La Falda.
Por: El DoceMartes 12 de Julio de 2022
muerte-la-falda-caso-basaldua
Bracamonte, el nombre bajo la lupa que se repite en ambos casos.
“La parte investigativa la dirigía yo”. Las palabras corresponden a Diego Bracamonte en mayo pasado, en el transcurso del juicio por el femicidio de Cecilia Basaldúa, que tuvo un escandaloso final.

Bracamonte volvió a ser noticia este martes tras ser desplazado de la Departamental Punilla Norte por la muerte de un detenido en La Falda. Jonatan Romo, de 36 años, falleció el domingo en la dependencia policial a la que lo trasladaron por distintos disturbios en la ciudad. 



El comisario fue apartado de su cargo como jefe de la Departamental Punilla Norte luego de la intervención del Tribunal de Conducta y la investigación judicial iniciada por la Fiscalía de Cosquín, confirmó el Ministerio de Seguridad de la Provincia.

La conexión de ambos casos ponen bajo la lupa el nombre del ahora exjefe policial.

En abril de 2020, Bracamonte se desempeñaba como segundo Jefe del Departamento de Investigaciones de Punilla. Se hizo cargo del operativo de búsqueda en Capilla del Monte cuando ocurrió el crimen de Cecilia. También fue el encargado de ordenar la detención de Lucas Bustos, que estuvo preso dos años y fue absuelto hace menos de dos semanas.

Durante el juicio por el femicidio de Basaldúa, Bracamonte expresó que comenzó a participar en la búsqueda apenas le avisaron que la mujer había desaparecido. Se dio inicio al sumario, se activó un protocolo, y después intervino la Fiscalía de Cosquín.

Otros comisarios que declararon en los Tribunales de Cruz del Eje apuntaron a Bracamonte como el ""jefe directo"" en la investigación del caso. Incluso Ariel Zárate, subcomisario de la brigada de Investigaciones del año 2020, quien se encuentra detenido en Bouwer, procesado por violencia de género.

Todos coincidieron en algo: Zárate entrevistó a Lucas Bustos y luego dio aviso a Bracamonte para que se comunicara con la fiscal instructora Paula Kelm, también apuntada por un cúmulo de errores procesales alrededor del caso. A las pocas de aquel 28 de abril de 2020, el campesino de 24 años era imputado y quedaba preso por el asesinato. Solo habían pasado tres días desde el hallazgo del cuerpo de Cecilia.



Más de dos años después, los ocho miembros del jurado popular que intervino en el juicio absolvió al peón rural. Así se confirmó que lo que siempre sostuvo la familia de la víctima: Bustos era un ""perejil"" que nada tuvo que ver con el crimen de la mujer.

""El rol de Bracamonte fue fundamental en la investigación y en la detención de Bustos. En el juicio se adjudicó haber estado al frente de esto cargado de irregularidades"", afirmó a ElDoce.tv Daniela Pavón, abogada de la familia Basaldúa, tras ser consultada por este nuevo escándalo que tiene como uno de los protagonistas al exjefe policial.

La letrada no solo enfocó los errores en la detención del ""perejil"" sino también en ""el manejo del sumario"". ""Nadie tenía acceso a eso, salvo él. En el juicio quedó claro que Bracamonte dirigía la Policía de Capilla del Monte y en cómo se llevó a cabo todo"", agregó.

+ MIRÁ MÁS: Córdoba: un pasajero atacó a cuchillazos a otros dos en un colectivo

Para Pavón, la captura de Bustos devino en el ascenso de Bracamonte, que pasó de segundo jefe del Departamento de Investigaciones de Punilla a jefe de la Departamental Punilla Norte.

""Tener a este supuesto asesino de Cecilia le valió el ascenso al poco tiempo. Sabíamos que dentro de la Policía que él manejaba decidieron tener a un culpable del hecho en 48 horas, porque eso les servía"", dijo la representante de la familia Basaldúa, y reiteró:  ""El papel de Bracamonte quizás fue el de los más importantes en esos primeros días"".

Finalmente, la abogada se refirió al desplazamiento que sucedió en las últimas horas: ""Me parece muy bien que se empiecen a tomar medidas. Es lo que habíamos solicitado en el juicio y todavía no se habían tomado cartas en el asunto en la Policía"". ", ,
Seguridad,,https://www.facebook.com/watch/?v=431412815531633,Violencia Institucional,Muere Jonatan Romo en la comisaría donde estaba detenido,La Falda,Provincial,,,12/7/2022,Telefé,Si,7,0,1,0,1,1,1,0,,1,0,12," INVESTIGAN LA MUERTE DE UN JOVEN EN LA COMISARÍA DE LA FALDA
Jonatan Romo tenía 35 años cuando fue detenido por la policía. Sus familiares piden investigar la causa de la muerte. Tres jefes policiales fueron apartados de sus cargos.
🌎 Seguí informado en cordoba.mitelefe.com"," INVESTIGAN LA MUERTE DE UN JOVEN EN LA COMISARÍA DE LA FALDA
Jonatan Romo tenía 35 años cuando fue detenido por la policía. Sus familiares piden investigar la causa de la muerte. Tres jefes policiales fueron apartados de sus cargos.
🌎 Seguí informado en cordoba.mitelefe.com", ,
Seguridad,,https://www.facebook.com/eldocetv/posts/pfbid02Az7suPzXhfvY1bbEybb1PwrdH2yJBC7fs5jb2HvRo1V4m8YMeDtJ4rE9iePLmh3rl,Violencia de Género,Hombres esclavizaron a una mujer para prostituirla,,Provincial,,,8/7/2022,ElDoceTv,Si,242,1,9,0,0,90,291,1,,93,56,783,"Un calvario que duró cinco meses
Dos hombres esclavizaron a una mujer en Villa María, donde estuvo retenida junto a su bebé. La drogaban para que ejerciera la prostitución. La Justicia Federal condenó a los responsables.","Dos hombres esclavizaron a una mujer: la drogaban para prostituirla
Los acusados por los hechos de 2013 fueron condenados por el Tribunal Oral Federal Nº 1 de Córdoba. La víctima estuvo retenida con su bebé durante cinco meses en Villa María.
Por: El DoceViernes 08 de Julio de 2022
tribunales federales trata personas
Los responsables fueron condenados por la Justicia Federal de Córdoba.
Una mujer logró escapar del calvario al que fue sometida en 2013 junto con su bebé. Dos hombres la retuvieron en Villa María en condiciones de esclavitud para que ejerciera la prostitución. Para esta práctica era drogada de manera sistemática. Los responsables fueron condenados en Córdoba.

Darío Sebastián González (34) recibió una condena a ocho años de prisión por trata de persona con fines de explotación sexual agravada. Al considerarse sentencias de 2016 y 2017 por robos, la pena se unificó en nueve años de cárcel.

Al otro procesado, Luis Adelmo López (69), padrastro de González, le dictaron una pena a cinco años de prisión por el delito ""rufianería agravada"".

+ MIRÁ MÁS: Diego Concha podría ser condenado a perpetua por Luana: lo imputaron por homicidio

El juez del Tribunal Oral Federal Nº 1, Jaime Díaz Gavier, ordenó las condenas en un juicio abreviado, con la intervención del fiscal General, Carlos María Casas Nóblega.

López ya había sido condenado en 2019 por una causa similar en Santa Fe, recordó La Voz. En ese caso le dictaron una pena a diez años de cárcel.

Cinco meses de tormentos

La víctima, oriunda de Santa Fe, padeció los tormentos desde mayo de 2013 hasta el 25 de octubre del mismo año. Llegó a Villa María por intermedio de una mujer a la que le pidió ayuda para conseguir un trabajo que le permitiera el sustento propio y el de su hijo de 11 meses.

Estaba sin ningún tipo de ingreso económico. En esas circunstancias inició el contacto con Luis López para ejercer la prostitución en la provincia de Córdoba. Una vez en Villa María comenzó el martirio.

No sólo que nunca obtuvo el dinero acordado, sino que la explotaron sexualmente mediante golpizas e inyectándole estupefacientes antes del inicio de cada jornada. Las prácticas se reiteraban de lunes a lunes durante diez horas.

+ MIRÁ MÁS: Condenaron a perpetua a Fernando Coronel, autor del femicidio de Karina Bustos

En reiteradas ocasiones, González encerraba a la mujer y la obligaba a mantener relaciones sexuales con él, con agresiones físicas de por medio.

La víctima fue despojada de su documento y del teléfono celular para evitar que tuviera contacto con su entorno. Además la separaron de su bebé con la intención de que no decidiera escaparse.

Hacia fines de octubre de 2013 logró salir del domicilio donde padecía el suplicio y pidió ayuda en la Comisaría de Villa María. Finalmente con personal de la Policía Federal fueron a rescatar al menor.

El procedimiento derivó en el inicio de la investigación que concluyó con la condena de los dos acusados.",,
